     1.00000000     0.00000000     0.00000010
     1.00000000     0.07940765     0.00000074
     1.00000000     0.15881530     0.00000334
     1.00000000     0.23822296     0.00000963
     1.00000000     0.31763061     0.00001795
     1.00000000     0.39703826     0.00002189
     1.00000000     0.47644591     0.00001756
     1.00000000     0.55585356     0.00000991
     1.00000000     0.63526121     0.00000934
     1.00000000     0.71466887     0.00003081
     1.00000000     0.79407652     0.00008966
     1.00000000     0.87348417     0.00017478
     1.00000000     0.95289182     0.00028637
     1.00000000     1.03229947     0.00060422
     1.00000000     1.11170713     0.00143199
     1.00000000     1.19111478     0.00260009
     1.00000000     1.27052243     0.00320323
     1.00000000     1.34993008     0.00272612
     1.00000000     1.42933773     0.00188077
     1.00000000     1.50874538     0.00144301
     1.00000000     1.58815304     0.00130592
     1.00000000     1.66756069     0.00113096
     1.00000000     1.74696834     0.00093482
     1.00000000     1.82637599     0.00094410
     1.00000000     1.90578364     0.00128586
     1.00000000     1.98519130     0.00170926
     1.00000000     2.06459895     0.00176024
     1.00000000     2.14400660     0.00142192
     1.00000000     2.22341425     0.00111230
     1.00000000     2.30282190     0.00106415
     1.00000000     2.38222955     0.00124004
     1.00000000     2.46163721     0.00159133
     1.00000000     2.54104486     0.00213163
     1.00000000     2.62045251     0.00304765
     1.00000000     2.69986016     0.00468851
     1.00000000     2.77926781     0.00688837
     1.00000000     2.85867547     0.00883567
     1.00000000     2.93808312     0.00998640
     1.00000000     3.01749077     0.00984589
     1.00000000     3.09689842     0.00863008
     1.00000000     3.17630607     0.00869681
     1.00000000     3.25571372     0.01185457
     1.00000000     3.33512138     0.01551918
     1.00000000     3.41452903     0.01504637
     1.00000000     3.49393668     0.01078478
     1.00000000     3.57334433     0.00765289
     1.00000000     3.65275198     0.00823082
     1.00000000     3.73215964     0.01195336
     1.00000000     3.81156729     0.01779988
     1.00000000     3.89097494     0.02299561
     1.00000000     3.97038259     0.02293184
     1.00000000     4.04979024     0.01761817
     1.00000000     4.12919789     0.01301094
     1.00000000     4.20860555     0.01346850
     1.00000000     4.28801320     0.01790394
     1.00000000     4.36742085     0.02161476
     1.00000000     4.44682850     0.02220540
     1.00000000     4.52623615     0.02240404
     1.00000000     4.60564381     0.02243345
     1.00000000     4.68505146     0.01912043
     1.00000000     4.76445911     0.01410886
     1.00000000     4.84386676     0.01071931
     1.00000000     4.92327441     0.00821344
     1.00000000     5.00268206     0.00565905
     1.00000000     5.08208972     0.00419453
     1.00000000     5.16149737     0.00454021
     1.00000000     5.24090502     0.00613661
     1.00000000     5.32031267     0.00855494
     1.00000000     5.39972032     0.01186190
     1.00000000     5.47912798     0.01515973
     1.00000000     5.55853563     0.01677053
     1.00000000     5.63794328     0.01694265
     1.00000000     5.71735093     0.01709223
