    -9.42477796    -9.42477796     0.10098456
    -9.42477796    -9.26769833     0.10150362
    -9.42477796    -9.11061870     0.10106320
    -9.42477796    -8.95353906     0.10104846
    -9.42477796    -8.79645943     0.10053832
    -9.42477796    -8.63937980     0.10085137
    -9.42477796    -8.48230016     0.10044056
    -9.42477796    -8.32522053     0.09984890
    -9.42477796    -8.16814090     0.10011831
    -9.42477796    -8.01106127     0.09966026
    -9.42477796    -7.85398163     0.09930695
    -9.42477796    -7.69690200     0.09872537
    -9.42477796    -7.53982237     0.09893162
    -9.42477796    -7.38274274     0.09828170
    -9.42477796    -7.22566310     0.09770936
    -9.42477796    -7.06858347     0.09729326
    -9.42477796    -6.91150384     0.09691759
    -9.42477796    -6.75442421     0.09645592
    -9.42477796    -6.59734457     0.09562086
    -9.42477796    -6.44026494     0.09563314
    -9.42477796    -6.28318531     0.09498728
    -9.42477796    -6.12610567     0.09475839
    -9.42477796    -5.96902604     0.09379880
    -9.42477796    -5.81194641     0.09411907
    -9.42477796    -5.65486678     0.09383884
    -9.42477796    -5.49778714     0.09279698
    -9.42477796    -5.34070751     0.09333871
    -9.42477796    -5.18362788     0.09376121
    -9.42477796    -5.02654825     0.09426251
    -9.42477796    -4.86946861     0.09387023
    -9.42477796    -4.71238898     0.09495624
    -9.42477796    -4.55530935     0.09521308
    -9.42477796    -4.39822972     0.09539876
    -9.42477796    -4.24115008     0.09591566
    -9.42477796    -4.08407045     0.09654798
    -9.42477796    -3.92699082     0.09724249
    -9.42477796    -3.76991118     0.09719591
    -9.42477796    -3.61283155     0.09784304
    -9.42477796    -3.45575192     0.09822448
    -9.42477796    -3.29867229     0.09894995
    -9.42477796    -3.14159265     0.09876467
    -9.42477796    -2.98451302     0.09936933
    -9.42477796    -2.82743339     0.09991197
    -9.42477796    -2.67035376     0.09995527
    -9.42477796    -2.51327412     0.10015307
    -9.42477796    -2.35619449     0.10048135
    -9.42477796    -2.19911486     0.10106951
    -9.42477796    -2.04203522     0.10042199
    -9.42477796    -1.88495559     0.10118901
    -9.42477796    -1.72787596     0.10127959
    -9.42477796    -1.57079633     0.10133995
    -9.42477796    -1.41371669     0.10132971
    -9.42477796    -1.25663706     0.10160329
    -9.42477796    -1.09955743     0.10208506
    -9.42477796    -0.94247780     0.10112935
    -9.42477796    -0.78539816     0.10201073
    -9.42477796    -0.62831853     0.10173474
    -9.42477796    -0.47123890     0.10150361
    -9.42477796    -0.31415927     0.10134490
    -9.42477796    -0.15707963     0.10152851
    -9.42477796     0.00000000     0.10144555
    -9.42477796     0.15707963     0.10095989
    -9.42477796     0.31415927     0.10192106
    -9.42477796     0.47123890     0.10184527
    -9.42477796     0.62831853     0.10166480
    -9.42477796     0.78539816     0.10168607
    -9.42477796     0.94247780     0.10180547
    -9.42477796     1.09955743     0.10197875
    -9.42477796     1.25663706     0.10109559
    -9.42477796     1.41371669     0.10196423
    -9.42477796     1.57079633     0.10150479
    -9.42477796     1.72787596     0.10116620
    -9.42477796     1.88495559     0.10090518
    -9.42477796     2.04203522     0.10114024
    -9.42477796     2.19911486     0.10115102
    -9.42477796     2.35619449     0.10021787
    -9.42477796     2.51327412     0.10069863
    -9.42477796     2.67035376     0.10012716
    -9.42477796     2.82743339     0.10001113
    -9.42477796     2.98451302     0.09937163
    -9.42477796     3.14159265     0.09954324
    -9.42477796     3.29867229     0.09897360
    -9.42477796     3.45575192     0.09816566
    -9.42477796     3.61283155     0.09867518
    -9.42477796     3.76991118     0.09727864
    -9.42477796     3.92699082     0.09749803
    -9.42477796     4.08407045     0.09652684
    -9.42477796     4.24115008     0.09657190
    -9.42477796     4.39822972     0.09562198
    -9.42477796     4.55530935     0.09530291
    -9.42477796     4.71238898     0.09543955
    -9.42477796     4.86946861     0.09390960
    -9.42477796     5.02654825     0.09463186
    -9.42477796     5.18362788     0.09378752
    -9.42477796     5.34070751     0.09379014
    -9.42477796     5.49778714     0.09292712
    -9.42477796     5.65486678     0.09411890
    -9.42477796     5.81194641     0.09454379
    -9.42477796     5.96902604     0.09382559
